synthetic_record_id,internal_project_id,record_mode,enrichment_source,synthetic_as_of_date,scenario_type,demo_case_id,mixed_signals,overlap_group_id,anomaly_notes,synthetic_disclaimer,real_state,real_constituency,real_category,real_work_description,real_allocation_amount,real_recommended_date,real_status,real_lifecycle_stage,real_ida,real_city,real_block,real_village,real_mp_name,real_house,implementing_district,implementing_agency,vendor_name,sanction_date,planned_start_date,planned_completion_date,actual_start_date,actual_completion_date,sanctioned_amount,expenditure_amount,latitude,longitude,coordinate_source,project_area,physical_progress_percent,milestone_number,milestone_amount,milestone_total_amount
synthetic:enr:26102:000001,internal:000ae0add6210c0af931a8b36e624b2bf321ab28d25f309b270d306551c499f9,HYBRID,SYNTHETIC,2024-06-30,EVIDENCE_GHOST,,,,SYNTHETIC EVIDENCE/GHOST: completed claim with no coordinates.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Tamil Nadu,VILUPPURAM(SC),Normal/Others,WS/MP457/2023-2024/10993 - Construction of buildings for crèches and anganwadies,1400000,2023-08-18,Completed,COMPLETED,DISTRICT COLLECTOR VILLUPURAM_IDA,Kottakuppam,,,D Ravikumar,Lok Sabha,VILLUPURAM [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR VILLUPURAM_IDA,SYNTHETIC VILLUPURAM Building Works Constructions,2023-09-05,2023-09-22,2024-03-30,2023-09-24,2024-03-23,1400000,1330295,,,SYNTHETIC missing GPS for GHOST prototype case; not official,"SYNTHETIC Building site near Kottakuppam, Tamil Nadu",100,2,665147,1330295
synthetic:enr:26102:000002,internal:000bb3edb94421c0949556be5dfa0210dd271e5974e274058d314ac25adad59a,HYBRID,SYNTHETIC,2024-06-30,TIME_ANOMALY,,,,SYNTHETIC TIME_ANOMALY/STUCK signal for prototype testing; not a legal finding.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Madhya Pradesh,KHARGONE(ST),Normal/Others,WS/MP641/2023-2024/8189 - Construction of community centers and community halls,300000,2023-08-06,Sanctioned,FUTURE,DISTRICT COLLECTOR BADWANI_IDA,,RAJPUR,Salkheda,Gajendra Singh Patel,Lok Sabha,BADWANI [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR BADWANI_IDA,SYNTHETIC BADWANI Community Works Contractor,2023-09-01,2023-09-10,2024-05-01,2023-09-10,,300000,35100,22.687597,78.928191,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Community Hall site near Salkheda, Madhya Pradesh",13,,,
synthetic:enr:26102:000003,internal:000e764d2fd2fa32634d820007d2f7b6a5bba6b884ee1a14c63ec7548462e821,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Andhra Pradesh,KURNOOL,Normal/Others,"WS/MP310/2023-2024/12825 - Construction of roads, approach roads, link roads and pathways",63577,2023-08-24,,UNKNOWN,DISTRICT COLLECTOR KURNOOL_IDA,,,,Dr Sanjeev Kumar Singari,Lok Sabha,KURNOOL [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR KURNOOL_IDA,SYNTHETIC KURNOOL Roadworks Contractor,,,,,,,,15.859961,78.058741,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Road site near KURNOOL, Andhra Pradesh",0,,,
synthetic:enr:26102:000004,internal:001a962291661b8df279bf0b4670c09e1f094708e799c6d46cd416620a33fc4b,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Uttar Pradesh,SHAHJAHANPUR(SC),Normal/Others,WS/MP492/2023-2024/6593 - Street lights,129700,2023-07-27,Sanctioned,FUTURE,DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA,,SINDHAULI,Kataul,Shri Arun Kumar Sagar,Lok Sabha,SHAHJAHANAPUR [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA,SYNTHETIC SHAHJAHANAPUR Lighting Works Agency,2023-08-18,2024-06-23,2024-09-16,,,129700,0,26.883216,80.657842,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Lighting site near Kataul, Uttar Pradesh",0,,,
synthetic:enr:26102:000005,internal:001c0d60d02aff6e9fbd49bd878e380c9c9aa6f4d42445669b11a01d17c5e43d,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Punjab,BHATINDA,Normal/Others,NA - Development of playfields and sports grounds,200000,2024-01-11,Unsanctioned,FUTURE,Deputy commissioner mansa_IDA,,Mansa,Barnala (116),Smt Harsimrat Kaur Badal,Lok Sabha,mansa [SYNTHETIC],SYNTHETIC implementing unit attached to Deputy commissioner mansa_IDA,SYNTHETIC mansa General Works Contractor,,,,,,,,30.862903,75.150371,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Barnala (116), Punjab",0,,,
synthetic:enr:26102:000006,internal:00240a728d011377dd60229975008a2ca8e1d4c6213ab6c9e7ddcce3f7aa9834,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Tripura,TRIPURA WEST,Normal/Others,NA - Installing community drinking water plants,391000,2023-12-23,Unsanctioned,FUTURE,DISTRICT MAGISTRATE WEST TRIPURA_IDA,,Sadar,Anandanagar,Ms Pratima Bhoumik,Lok Sabha,WEST TRIPURA [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT MAGISTRATE WEST TRIPURA_IDA,SYNTHETIC WEST TRIPURA Water Systems Contractor,,,,,,,,24.229892,91.728506,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Water site near Anandanagar, Tripura",0,,,
synthetic:enr:26102:000007,internal:0033ace4dd4766a36eab8a48f1bdd26706ae42f97ac0533d0eebe2190e2fbaa8,HYBRID,SYNTHETIC,2024-06-30,COST_ANOMALY,,,,SYNTHETIC COST_ANOMALY/OVERBILL signal for prototype testing; not a legal finding.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Andhra Pradesh,ARAKU(ST),Normal/Others,WS/MP401/2023-2024/45093 - Setting up of laboratories,194840,2023-11-04,Completed,COMPLETED,DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA,,CHINTAPALLE,Chintapalle (CT),Goddeti Madhavi,Lok Sabha,ALLURI SITHARAMARAJU [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR ALLURI SITHARAMARAJU_IDA,SYNTHETIC ALLURI SITHARAMARAJU General Works Constructions,2023-12-02,2023-12-13,2024-03-28,2023-12-21,2024-03-31,194840,401258,18.361462,82.888508,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Chintapalle (CT), Andhra Pradesh",100,4,56783,227134
synthetic:enr:26102:000008,internal:003dc20a9d2373cb9a8d45b8c559801f5c047cb3426c9737ceb8f4d12a133312,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Punjab,FARIDKOT(SC),Normal/Others,WS/MP715/2023-2024/9311 - Installation of fixed garden gym equipment,315000,2023-08-14,Sanctioned,FUTURE,Deputy Commissioner Moga_IDA,,MOGA-I,Mehron (51),Mohammad Sadique,Lok Sabha,Moga [SYNTHETIC],SYNTHETIC implementing unit attached to Deputy Commissioner Moga_IDA,SYNTHETIC Moga General Works Agency,2023-08-26,2024-06-23,2024-12-18,,,315000,0,30.868674,75.589347,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Mehron (51), Punjab",0,,,
synthetic:enr:26102:000009,internal:004e3c136b86a9af645706eb751dff19c13952cd5eeb24bdc923524fad78e5da,HYBRID,SYNTHETIC,2024-06-30,OVERLAP,,,synthetic:overlap:26102:0054,SYNTHETIC OVERLAP group: nearby coordinates and shared vendor for prototype testing; not a legal finding.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Jammu And Kashmir,ANANTNAG,Normal/Others,WS/MP602/2023-2024/49611 - Improvement of electricity distribution infrastructure,591000,2023-11-16,Unsanctioned,FUTURE,DEPUTY COMMISSIONER ANANTNAG_IDA,,DACHNIPORA,Chitterus Badroo,Hasnain Masoodi,Lok Sabha,ANANTNAG [SYNTHETIC],SYNTHETIC implementing unit attached to DEPUTY COMMISSIONER ANANTNAG_IDA,SYNTHETIC ANANTNAG General Works Agency,,,,,,,,33.6215,75.230535,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Chitterus Badroo, Jammu And Kashmir",0,,,
synthetic:enr:26102:000010,internal:00517c4268365e8c0fabc6fada2c2f0162745f6297c4a62ceb7fb900055e48a4,HYBRID,SYNTHETIC,2024-06-30,TIME_ANOMALY,,,,SYNTHETIC TIME_ANOMALY/STUCK signal for prototype testing; not a legal finding.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Odisha,KORAPUT(ST),Normal/Others,"WS/MP453/2023-2024/664 - Construction of roads, approach roads, link roads and pathways",250000,2023-06-07,Ongoing,ONGOING,District Collector Koraput_IDA,,NANDAPUR,Jhankarguda,Saptagiri Sankar Ulaka,Lok Sabha,Koraput [SYNTHETIC],SYNTHETIC implementing unit attached to District Collector Koraput_IDA,SYNTHETIC Koraput Roadworks Agency,2023-07-02,2023-07-14,2024-03-21,2023-07-14,,250000,33750,20.809282,84.874553,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Road site near Jhankarguda, Odisha",15,3,36660,109981
